PLAY_SCRIPT:,C:\Users\anton\myUnisannio\magistrale\MAPI\esame\datalogs\dl_12092024_103623.csv,09/12/2024 10:37:03
SET_BAUD:,C:\Users\anton\myUnisannio\magistrale\MAPI\esame\datalogs\dl_12092024_103245.csv,09/12/2024 10:37:15
PLAY_SCRIPT:,C:\Users\anton\myUnisannio\magistrale\MAPI\esame\datalogs\dl_12092024_103245.csv,09/12/2024 10:37:28
SET_PORT:,COM6,09/12/2024 10:37:49
SET_BAUD:,1,09/12/2024 10:37:49
SERIAL:,1,09/12/2024 10:37:49
SELECT_CH:,1,09/12/2024 10:37:49
SELECT_CH:,1,09/12/2024 10:37:49
READ_ERROR:,1,09/12/2024 10:37:49
SOURCE_VOLT:,0,09/12/2024 10:37:49
SOURCE_CURR:,0.7000,09/12/2024 10:37:49
SOURCE_CURR:,0.7000,09/12/2024 10:37:49
SOURCE_CURR:,0.7000,09/12/2024 10:37:49
SOURCE_CURR:,0.7000,09/12/2024 10:37:49
SOURCE_CURR:,0.7000,09/12/2024 10:37:49
SOURCE_CURR:,0.7000,09/12/2024 10:37:49
SOURCE_CURR:,0.7000,09/12/2024 10:37:49
OUT_CURR:,0.5000,09/12/2024 10:37:49
DC_OUTPUT:,1,09/12/2024 10:37:49
OUT_CURR:,0.5000,09/12/2024 10:37:49
READ_ALL:,0,09/12/2024 10:37:49
TIMER:,1,09/12/2024 10:37:49
CLEAR_BUFF:,1,09/12/2024 10:37:49
OUT_CURR:,0.5000,09/12/2024 10:37:49
DC_OUTPUT:,0,09/12/2024 10:37:49
TIMER:,0,09/12/2024 10:37:49
READ_ALL:,0,09/12/2024 10:37:49
SET_BAUD:,1,09/12/2024 10:37:49
SERIAL:,0,09/12/2024 10:37:49
SOURCE_VOLT:,0,09/12/2024 10:37:49
